Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
2-Jan-18,2683.73,2695.81,2695.89,2682.36,1846463232,13.53,#VALUE!,#VALUE!,#VALUE!
3-Jan-18,2697.85,2713.06,2714.37,2697.77,2090595328,16.6,14.12,2.04,0.116776352
4-Jan-18,2719.31,2723.99,2729.29,2719.07,2100767744,10.22,21.46,6.25,0.004842237
5-Jan-18,2731.33,2743.15,2743.45,2727.92,1918869120,15.53,12.02,7.34,-0.094794701
8-Jan-18,2742.67,2747.71,2748.51,2737.6,1894823936,10.91,11.34,-0.48,-0.01268993
9-Jan-18,2751.15,2751.29,2759.14,2747.86,1957263872,11.28,8.48,3.44,0.031901644
10-Jan-18,2745.55,2748.23,2750.8,2736.06,2048867328,14.74,-5.6,-5.74,0.044709316
11-Jan-18,2752.97,2767.56,2767.56,2752.78,1978592384,14.78,7.42,4.74,-0.035517646
12-Jan-18,2770.18,2786.24,2787.85,2769.64,2108422912,18.21,17.21,2.62,0.061577081
16-Jan-18,2798.96,2776.42,2807.54,2768.64,2532135680,38.9,28.78,12.72,0.167334149
17-Jan-18,2784.99,2802.56,2807.04,2778.38,2358957312,28.66,-13.97,8.57,-0.0734131
18-Jan-18,2802.4,2798.03,2805.83,2792.56,2208384000,13.27,17.41,-0.16,-0.068182577
19-Jan-18,2802.6,2810.3,2810.33,2798.08,2374764288,12.25,0.2,4.57,0.070061812
22-Jan-18,2809.16,2832.97,2833.03,2808.12,2088180864,24.91,6.56,-1.14,-0.13724071
23-Jan-18,2835.05,2839.13,2842.24,2830.59,2149982976,11.65,25.89,2.08,0.028745396
24-Jan-18,2845.42,2837.54,2852.97,2824.81,2391178240,28.16,10.37,6.29,0.100868793
25-Jan-18,2846.24,2839.25,2848.56,2830.94,2290282496,17.62,0.82,8.7,-0.044053842
26-Jan-18,2847.48,2872.87,2872.87,2846.18,2159136256,26.69,1.24,8.23,-0.060740141
29-Jan-18,2867.23,2853.53,2870.62,2851.48,2086406528,19.14,19.75,-5.64,-0.034858848
30-Jan-18,2832.74,2822.43,2837.75,2818.27,2339843584,19.48,-34.49,-20.79,0.108313674
31-Jan-18,2832.41,2823.81,2839.26,2813.04,2649383424,26.22,-0.33,9.98,0.116834671
1-Feb-18,2816.45,2821.98,2835.96,2812.7,2406066688,23.26,-15.96,-7.36,-0.101126348
2-Feb-18,2808.92,2762.13,2808.92,2759.97,2629697792,48.95,-7.53,-13.06,0.08504061
5-Feb-18,2741.06,2648.94,2763.39,2638.17,3388212992,125.22,-67.86,-21.07,0.223868807
6-Feb-18,2614.78,2695.14,2701.04,2593.07,3851964160,107.97,-126.28,-34.16,0.120393428
7-Feb-18,2690.95,2681.66,2727.67,2681.33,2753322240,46.34,76.17,-4.19,-0.399024097
8-Feb-18,2685.01,2581,2685.27,2580.56,3171145728,104.71,-5.94,3.35,0.131757896
9-Feb-18,2601.78,2619.55,2638.67,2532.69,3614218240,105.98,-83.23,20.78,0.122591521
12-Feb-18,2636.75,2656,2672.61,2622.45,2572994048,50.16,34.97,17.2,-0.404674155
13-Feb-18,2646.27,2662.94,2668.84,2637.08,2006957184,31.76,9.52,-9.73,-0.282037339
14-Feb-18,2651.21,2698.63,2702.1,2648.87,2340877056,53.23,4.94,-11.73,0.142647334
15-Feb-18,2713.46,2731.2,2731.51,2689.82,2217867776,41.69,62.25,14.83,-0.055462856
16-Feb-18,2727.14,2732.22,2754.42,2725.11,2156744192,29.31,13.68,-4.06,-0.028340674
