Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
2-Jan-09,902.99,931.8,934.73,899.35,4048270080,35.38,#VALUE!,#VALUE!,#VALUE!
5-Jan-09,929.17,927.45,936.63,919.53,5413910016,17.1,26.18,-2.63,0.252246515
6-Jan-09,931.17,934.7,943.85,927.28,5392620032,16.57,2,3.72,-0.003947985
7-Jan-09,927.45,906.65,927.45,902.37,4704940032,25.08,-3.72,-7.25,-0.146161268
8-Jan-09,905.73,909.73,910,896.81,4991549952,13.19,-21.72,-0.92,0.057419023
9-Jan-09,909.91,890.35,911.93,888.31,4716499968,23.62,4.18,0.18,-0.058316545
12-Jan-09,890.4,870.26,890.4,864.32,4725049856,26.08,-19.51,0.05,0.001809481
13-Jan-09,869.79,871.79,877.02,862.02,5017469952,15,-20.61,-0.47,0.058280388
14-Jan-09,867.28,842.62,867.28,836.93,5407880192,30.35,-2.51,-4.51,0.072192842
15-Jan-09,841.99,843.74,851.59,817.04,7807350272,34.55,-25.29,-0.63,0.307334755
16-Jan-09,844.45,850.12,858.13,830.66,6786039808,27.47,2.46,0.71,-0.150501691
20-Jan-09,849.64,805.22,849.64,804.47,6375229952,45.17,5.19,-0.48,-0.064438437
21-Jan-09,806.77,840.24,841.72,804.3,6467829760,37.42,-42.87,1.55,0.014316983
22-Jan-09,839.74,827.5,839.74,811.29,5843829760,28.45,32.97,-0.5,-0.106779291
23-Jan-09,822.16,831.95,838.61,806.07,5832160256,32.54,-17.58,-5.34,-0.002000889
26-Jan-09,832.5,836.57,852.53,827.69,6039940096,24.84,10.34,0.55,0.034400977
27-Jan-09,837.3,845.71,850.45,835.4,5353260032,15.05,4.8,0.73,-0.12827325
28-Jan-09,845.73,874.09,877.86,845.73,6199179776,32.13,8.43,0.02,0.136456721
29-Jan-09,868.89,845.14,868.89,844.15,5067060224,24.74,23.16,-5.2,-0.223427294
30-Jan-09,845.69,825.88,851.66,821.67,5350580224,29.99,-23.2,0.55,0.052988646
2-Feb-09,823.09,825.44,830.78,812.87,5673269760,17.91,-22.6,-2.79,0.056878934
3-Feb-09,825.69,838.51,842.6,821.98,5886309888,20.62,2.6,0.25,0.036192476
4-Feb-09,837.77,832.23,851.85,829.18,6420449792,22.67,12.08,-0.74,0.083193533
5-Feb-09,831.75,845.85,850.55,819.91,6624030208,30.64,-6.02,-0.48,0.030733618
6-Feb-09,846.09,868.6,870.75,845.42,6484100096,25.33,14.34,0.24,-0.021580498
9-Feb-09,868.24,869.89,875.01,861.65,5574369792,13.36,22.15,-0.36,-0.163198772
